month,district,sentiment_score,review_count,sentiment_score_normalized
2017-09,Polonnaruwa,0.5,2,75.0
2017-09,Trincomalee,0.7142857142857143,21,85.71428571428572
2017-10,Anuradhapura,0.9333333333333333,15,96.66666666666667
2017-10,Badulla,0.875,8,93.75
2017-10,Colombo,0.8064516129032258,31,90.32258064516128
2017-10,Galle,0.9230769230769231,13,96.15384615384616
2017-10,Gampaha,-1.0,1,0.0
2017-10,Jaffna,0.8,5,90.0
2017-10,Kalutara,0.3333333333333333,9,66.66666666666666
2017-10,Kandy,0.4,10,70.0
2017-10,Matale,0.5,6,75.0
2017-10,Nuwara Eliya,0.6363636363636364,22,81.81818181818181
2017-10,Other,0.8333333333333334,12,91.66666666666667
2017-10,Polonnaruwa,1.0,4,100.0
2017-10,Trincomalee,1.0,5,100.0
2017-11,Anuradhapura,0.7894736842105263,19,89.47368421052632
2017-11,Badulla,0.7142857142857143,14,85.71428571428572
2017-11,Colombo,0.75,16,87.5
2017-11,Galle,1.0,11,100.0
2017-11,Gampaha,-1.0,1,0.0
2017-11,Jaffna,-0.3333333333333333,3,33.333333333333336
2017-11,Kalutara,0.7142857142857143,7,85.71428571428572
2017-11,Kandy,0.5714285714285714,7,78.57142857142857
2017-11,Matale,0.3333333333333333,6,66.66666666666666
2017-11,Nuwara Eliya,0.8214285714285714,28,91.07142857142857
2017-11,Other,0.8235294117647058,17,91.17647058823529
2017-11,Polonnaruwa,0.75,4,87.5
2017-11,Trincomalee,0.625,8,81.25
2017-12,Ampara,1.0,1,100.0
2017-12,Anuradhapura,0.6206896551724138,29,81.03448275862068
2017-12,Badulla,0.6190476190476191,21,80.95238095238095
2017-12,Colombo,0.55,20,77.5
2017-12,Galle,0.9565217391304348,23,97.82608695652173
2017-12,Gampaha,1.0,1,100.0
2017-12,Jaffna,0.7272727272727273,11,86.36363636363636
2017-12,Kalutara,0.8333333333333334,6,91.66666666666667
2017-12,Kandy,0.6666666666666666,12,83.33333333333333
2017-12,Matale,1.0,8,100.0
2017-12,Nuwara Eliya,0.5238095238095238,63,76.19047619047619
2017-12,Other,0.6551724137931034,29,82.75862068965517
2017-12,Polonnaruwa,1.0,3,100.0
2017-12,Trincomalee,0.7142857142857143,14,85.71428571428572
2018-01,Ampara,0.0,2,50.0
2018-01,Anuradhapura,0.92,50,96.0
2018-01,Badulla,0.7333333333333333,30,86.66666666666667
2018-01,Colombo,0.7435897435897436,39,87.17948717948718
