month,sentiment_score,positive_count,review_count,negative_count,neutral_count,sentiment_score_normalized,ampara_sentiment,anuradhapura_sentiment,badulla_sentiment,colombo_sentiment,galle_sentiment,gampaha_sentiment,jaffna_sentiment,kalutara_sentiment,kandy_sentiment,matale_sentiment,nuwara_eliya_sentiment,other_sentiment,polonnaruwa_sentiment,trincomalee_sentiment,ampara_reviews,anuradhapura_reviews,badulla_reviews,colombo_reviews,galle_reviews,gampaha_reviews,jaffna_reviews,kalutara_reviews,kandy_reviews,matale_reviews,nuwara_eliya_reviews,other_reviews,polonnaruwa_reviews,trincomalee_reviews
2018-11,0.7186440677966102,232,295,20,43,85.9322033898305,0.7186440677966102,0.6153846153846154,0.8333333333333334,0.8,0.7714285714285715,0.8,1.0,0.9047619047619048,0.7551020408163265,0.0,0.6046511627906976,0.5116279069767442,0.8285714285714286,1.0,,13.0,18.0,25.0,35.0,5.0,4.0,21.0,49.0,3.0,43.0,43.0,35.0,1.0
2018-12,0.7274509803921568,408,510,37,65,86.37254901960785,0.7274509803921568,0.896551724137931,0.6666666666666666,0.9107142857142857,0.6216216216216216,0.2727272727272727,0.6666666666666666,0.9032258064516129,0.7758620689655172,0.0,0.6666666666666666,0.6060606060606061,0.8571428571428571,1.0,,29.0,39.0,56.0,74.0,11.0,6.0,31.0,58.0,4.0,81.0,66.0,49.0,6.0
2019-01,0.7075471698113207,503,636,53,80,85.37735849056604,1.0,0.9615384615384616,0.7,0.7450980392156863,0.7362637362637363,0.13636363636363635,0.875,0.8620689655172413,0.7446808510638298,0.6666666666666666,0.5894736842105263,0.5857142857142857,0.7777777777777778,0.8571428571428571,2.0,52.0,40.0,51.0,91.0,22.0,8.0,29.0,94.0,12.0,95.0,70.0,63.0,7.0
2019-02,0.7484076433121019,505,628,35,88,87.42038216560509,-1.0,0.75,0.6153846153846154,0.8333333333333334,0.7752808988764045,0.45,0.5714285714285714,0.7931034482758621,0.9156626506024096,0.7,0.6835443037974683,0.6796116504854369,0.8028169014084507,0.9,1.0,44.0,39.0,42.0,89.0,20.0,7.0,29.0,83.0,10.0,79.0,103.0,71.0,10.0
2019-03,0.7592295345104334,515,623,42,66,87.96147672552166,0.7592295345104334,0.7962962962962963,0.8409090909090909,0.6842105263157895,0.7792207792207793,0.25,0.75,0.8947368421052632,0.8414634146341463,0.5714285714285714,0.6436781609195402,0.7415730337078652,0.85,0.6666666666666666,,54.0,44.0,38.0,77.0,12.0,16.0,19.0,82.0,14.0,87.0,89.0,80.0,9.0
2019-04,0.7327823691460055,294,363,28,41,86.63911845730028,0.3333333333333333,0.8181818181818182,0.75,0.5,0.6557377049180327,0.2,0.7327823691460055,0.7222222222222222,0.8,0.7777777777777778,0.7333333333333333,0.7547169811320755,0.8076923076923077,1.0,3.0,11.0,32.0,22.0,61.0,5.0,,18.0,35.0,9.0,45.0,53.0,52.0,16.0
2019-05,0.8260869565217391,60,69,3,6,91.30434782608697,1.0,1.0,0.75,0.75,1.0,0.5,0.3333333333333333,0.8260869565217391,1.0,1.0,0.75,0.875,0.625,1.0,1.0,4.0,8.0,8.0,4.0,2.0,3.0,,14.0,1.0,4.0,8.0,8.0,4.0
2019-06,0.6631578947368421,74,95,11,10,83.1578947368421,1.0,0.6631578947368421,0.25,0.7272727272727273,0.42857142857142855,0.3333333333333333,0.6631578947368421,1.0,0.7272727272727273,0.6666666666666666,0.7333333333333333,0.5333333333333333,1.0,0.5,3.0,,8.0,11.0,7.0,3.0,,2.0,11.0,3.0,15.0,15.0,13.0,4.0
2019-07,0.7752808988764045,149,178,11,18,88.76404494382022,1.0,1.0,0.6666666666666666,0.9166666666666666,0.6875,0.375,0.7752808988764045,0.5,0.8823529411764706,1.0,0.75,0.6666666666666666,0.76,0.7647058823529411,5.0,15.0,6.0,12.0,16.0,8.0,,2.0,17.0,6.0,28.0,21.0,25.0,17.0
2019-08,0.7206477732793523,202,247,24,21,86.03238866396761,0.7206477732793523,0.8666666666666667,0.75,0.7619047619047619,0.92,0.0,0.5,0.7777777777777778,0.8076923076923077,1.0,0.6857142857142857,0.5714285714285714,0.96875,0.2777777777777778,,15.0,20.0,21.0,25.0,8.0,6.0,9.0,26.0,3.0,35.0,28.0,32.0,18.0
